id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000026072,3128.45167,-0.181090856,0.133971133,-1.351715486,0.176466349,0.388066729
ENSMUSG00000103560,8.735080578,0.370824527,0.68601111,0.540551781,0.588816561,0.764790312
ENSMUSG00000070942,1095.371964,-0.337521229,0.119664814,-2.820555324,0.004794061,0.048048805
ENSMUSG00000103230,17.01380599,-0.232591488,0.41114292,-0.565719308,0.571584608,0.752682012
ENSMUSG00000026069,27174.12582,-1.186624356,0.276409442,-4.292995022,1.76E-05,0.001339024
ENSMUSG00000026070,211.3622006,-0.745385604,0.261426278,-2.851226776,0.00435509,0.04573052
ENSMUSG00000026068,3300.214067,-0.076499972,0.148695898,-0.514472647,0.606921579,0.776314801
ENSMUSG00000104441,0,NA,NA,NA,NA,NA
ENSMUSG00000026065,6.472252939,-0.899995192,0.760554597,-1.183340677,0.236674158,NA
ENSMUSG00000102676,0,NA,NA,NA,NA,NA
ENSMUSG00000026062,738.9541799,0.200288614,0.196987155,1.016759768,0.309267726,0.538096016
ENSMUSG00000103679,0.873692546,0.597933948,1.721012955,0.347431404,0.728267244,NA
ENSMUSG00000103270,1.475362769,-0.235062288,1.017069857,-0.231117152,0.817223791,NA
ENSMUSG00000041945,29.06238083,0.196059453,0.274968642,0.713024772,0.475830428,0.681460943
ENSMUSG00000079588,32.84578106,-2.168693583,0.54688828,-3.965514824,7.32E-05,0.003676533
ENSMUSG00000094136,0,NA,NA,NA,NA,NA
ENSMUSG00000104072,0,NA,NA,NA,NA,NA
ENSMUSG00000100185,0,NA,NA,NA,NA,NA
ENSMUSG00000100832,0,NA,NA,NA,NA,NA
ENSMUSG00000100178,0.498869612,-2.002848855,2.711714598,-0.738591317,0.460155199,NA
ENSMUSG00000101877,0,NA,NA,NA,NA,NA
ENSMUSG00000053640,0,NA,NA,NA,NA,NA
ENSMUSG00000101919,0,NA,NA,NA,NA,NA
ENSMUSG00000101299,0,NA,NA,NA,NA,NA
ENSMUSG00000100180,0,NA,NA,NA,NA,NA
ENSMUSG00000103106,0,NA,NA,NA,NA,NA
ENSMUSG00000060424,0,NA,NA,NA,NA,NA
ENSMUSG00000104199,0,NA,NA,NA,NA,NA
ENSMUSG00000045515,0.317837391,-0.284715339,3.41494105,-0.083373427,0.933554617,NA
ENSMUSG00000093436,0,NA,NA,NA,NA,NA
ENSMUSG00000097063,0.086749531,-0.808329234,4.27958794,-0.188880155,0.850186748,NA
ENSMUSG00000099784,0,NA,NA,NA,NA,NA
ENSMUSG00000060679,787.2355605,-0.209895649,0.110671326,-1.896567586,0.057885032,0.205452117
ENSMUSG00000077448,0.092396264,0.345789806,4.27958794,0.08079979,0.935601175,NA
ENSMUSG00000041907,0.711748193,-2.793182234,1.955068127,-1.428687929,0.153093949,NA
ENSMUSG00000070939,901.9813173,0.059348276,0.103199998,0.575080207,0.565237053,0.747769651
ENSMUSG00000100269,0.122724828,-0.231282925,4.27958794,-0.05404327,0.95690069,NA
ENSMUSG00000041878,6.495913165,0.091929994,0.524074606,0.175413945,0.860754384,NA
