id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000000318,431.4203097,-1.65426835,0.399772311,-4.138026334,3.50E-05,0.002489541
ENSMUSG00000000320,17.96255531,-0.532911508,0.532550362,-1.000678145,0.316982437,0.559985076
ENSMUSG00000000326,1259.528215,0.069424302,0.085627272,0.810773253,0.417495897,0.647059243
ENSMUSG00000000339,765.5193099,-0.060779877,0.099040071,-0.613689753,0.539420361,0.736034566
ENSMUSG00000000340,375.4398685,0.181493498,0.154715953,1.173075528,0.240765519,0.481232192
ENSMUSG00000000346,5687.030579,-0.345265795,0.101336295,-3.407128657,0.000656502,0.017132449
ENSMUSG00000000355,672.0321312,-0.418188883,0.189559239,-2.206111848,0.027376169,0.144745773
ENSMUSG00000000359,186.2440304,0.628523622,0.237408105,2.64743962,0.008110384,0.073700565
ENSMUSG00000000365,0.234747985,0,4.279685918,0,1,NA
ENSMUSG00000000374,1023.889188,0.06572799,0.152946563,0.429744802,0.667381289,0.819790065
ENSMUSG00000000378,1078.881652,0.106864831,0.098494328,1.084984619,0.277928468,0.518622656
ENSMUSG00000000381,0.265897159,-0.847052027,3.655166451,-0.231741027,0.816739164,NA
ENSMUSG00000000384,742.4535588,0.107821913,0.133754537,0.806117802,0.420174928,0.649637695
ENSMUSG00000000385,6.899482086,1.203936721,1.309916036,0.919094574,0.358046107,NA
ENSMUSG00000000386,472.6692287,-0.125337762,0.273284082,-0.45863543,0.64649599,0.807829582
ENSMUSG00000000392,296.4748711,-0.759986261,0.241386666,-3.14841856,0.001641565,0.03047148
ENSMUSG00000000394,0.710148263,0,3.922508931,0,1,NA
ENSMUSG00000000399,1234.57735,0.082762224,0.104383295,0.792868477,0.427854455,0.655119307
ENSMUSG00000000402,5.088998264,-0.687329619,0.919088626,-0.747838238,0.454557734,NA
ENSMUSG00000000409,331.9689589,-0.875644962,0.309923908,-2.825354671,0.004722831,0.055306097
ENSMUSG00000000411,0.571650742,1.091884015,1.915624254,0.569988615,0.56868542,NA
ENSMUSG00000000416,14.58419384,0.001545908,0.742966222,0.002080725,0.998339823,0.999159328
ENSMUSG00000000420,4945.437108,0.350352768,0.211202322,1.65884903,0.097146218,0.293234365
ENSMUSG00000000435,0.377642395,-1.331888706,4.238425401,-0.314241394,0.753337706,NA
ENSMUSG00000000439,975.0131143,-0.121923533,0.087177389,-1.398568308,0.161942476,0.386612594
ENSMUSG00000000440,18.37915793,0.124485951,1.013496661,0.12282818,0.902243159,0.953566199
ENSMUSG00000000441,1879.931301,0.159496524,0.104375594,1.528101712,0.126487286,0.3384054
ENSMUSG00000000486,194.2074252,-0.999657903,0.343333831,-2.91162074,0.003595589,0.047172339
ENSMUSG00000000489,301.565891,-0.640074672,0.25124433,-2.547618376,0.010846105,0.087113834
ENSMUSG00000000530,439.9909366,-0.62413471,0.238712113,-2.614591698,0.008933418,0.077429517
ENSMUSG00000000531,170.1543528,-0.235619001,0.168095887,-1.40169403,0.161006634,0.385707236
ENSMUSG00000000532,838.1074166,-0.182534978,0.122465392,-1.490502545,0.136092148,0.350918409
ENSMUSG00000000538,1395.755723,0.146943241,0.098254407,1.495538422,0.13477398,0.349068423
ENSMUSG00000000544,0.982248082,-1.348121725,1.7231379,-0.782364386,0.434000458,NA
ENSMUSG00000000552,187.4597938,-0.611966981,1.320315705,-0.463500494,0.643005661,0.805600811
ENSMUSG00000000555,3761.677695,-0.284324053,0.151509554,-1.876608076,0.06057183,0.223472592
ENSMUSG00000000560,0,NA,NA,NA,NA,NA
ENSMUSG00000000561,2042.760531,0.324917075,0.144233244,2.252719729,0.024276826,0.135580035
ENSMUSG00000000562,67.82012265,-0.29219491,0.339298878,-0.86117264,0.389142967,0.62357322
ENSMUSG00000000563,3923.691702,-0.128774269,0.100473944,-1.281668295,0.199959031,0.435600431
ENSMUSG00000000567,493.1526568,0.160137146,0.235284802,0.680609816,0.496118414,0.707162205
ENSMUSG00000000568,4233.314798,0.611412584,0.147999723,4.131173838,3.61E-05,0.00251353
ENSMUSG00000000579,266.9793621,0.070209034,0.134606782,0.521586157,0.601958504,0.778925834
ENSMUSG00000000581,812.6519484,0.038023945,0.149248254,0.25476978,0.798900917,0.900650688
ENSMUSG00000000594,2769.988007,-0.145077011,0.167249875,-0.867426725,0.385708244,0.621069631
ENSMUSG00000000600,834.1085791,0.130285303,0.111087926,1.172812455,0.240871022,0.481232192
ENSMUSG00000000605,915.5335927,-0.105563644,0.070979151,-1.487248615,0.136949161,0.352037281
ENSMUSG00000000606,1.567248922,1.345107863,1.13416211,1.185992594,0.235625224,NA
ENSMUSG00000000617,2.816776358,-0.704491487,0.94565676,-0.744975891,0.456286295,NA
ENSMUSG00000000627,36.57150696,-0.022062019,0.517460548,-0.04263517,0.965992359,0.984588744
ENSMUSG00000000628,1862.840846,-1.960598174,0.401025673,-4.888959246,1.01E-06,0.000217426
ENSMUSG00000000631,2085.643976,0.159805046,0.200364475,0.797571755,0.425119047,0.653416968
ENSMUSG00000000632,2.436308408,-0.479958718,1.168968713,-0.410583031,0.681378308,NA
ENSMUSG00000000673,10.97191158,-2.054721979,0.878523794,-2.33883475,0.019343988,0.120444702
ENSMUSG00000000682,1197.896246,-0.986000943,0.34227032,-2.880766704,0.003967092,0.050012561
ENSMUSG00000000686,46.41280786,0.505785851,0.370093035,1.366645151,0.171736558,0.399909153
ENSMUSG00000000690,185.1116294,-0.241649554,0.145311334,-1.66297802,0.096316835,0.292091473
ENSMUSG00000000693,4352.602348,0.231835838,0.10900175,2.126900153,0.03342838,0.161858886
ENSMUSG00000000701,0,NA,NA,NA,NA,NA
ENSMUSG00000000706,1.125083098,-1.024651414,1.98728079,-0.51560475,0.606130492,NA
ENSMUSG00000000708,1201.078929,-0.294564777,0.165079441,-1.784381967,0.074361619,0.250843559
ENSMUSG00000000711,2062.160693,0.032165011,0.066188186,0.485963027,0.62699338,0.794942525
ENSMUSG00000000724,3.465836037,-0.755196446,0.780812564,-0.967193,0.333447561,NA
ENSMUSG00000000730,26.48616046,-1.490527911,0.541421367,-2.752990559,0.00590536,0.061990594
ENSMUSG00000000731,22.27140495,-0.523741436,0.543648636,-0.963382233,0.335355739,0.574828026
ENSMUSG00000000732,77.84490706,0.67807788,0.463514087,1.462906735,0.143492901,0.361974947
ENSMUSG00000000738,1277.926576,0.056180684,0.150254688,0.373903037,0.708476457,0.847096075
ENSMUSG00000000739,78.86441189,-0.995802772,0.624338087,-1.59497361,0.110718137,0.315338668
ENSMUSG00000000740,14556.03036,-0.263145503,0.123613513,-2.128776181,0.033272783,0.161479715
ENSMUSG00000000743,1980.789618,-0.144767074,0.101282418,-1.429340619,0.152906357,0.374964382
ENSMUSG00000000751,2209.619565,0.395001104,0.145306619,2.718397179,0.006559904,0.065877118
ENSMUSG00000000753,6168.835706,-0.113433925,0.193191314,-0.587158518,0.557097249,0.749571192
ENSMUSG00000000759,1366.190282,0.072416198,0.091475179,0.791648604,0.428565598,0.655568795
ENSMUSG00000000766,0.226591447,-0.315729854,4.279685918,-0.073774071,0.941190159,NA
