id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000000318,453.5065698,-1.735927352,0.436983921,-3.972519968,7.11E-05,0.003695839
ENSMUSG00000000320,15.76326982,-0.675534141,0.649916082,-1.039417488,0.298610614,0.534123108
ENSMUSG00000000326,1397.293021,-0.031404268,0.071911533,-0.436706972,0.662323872,0.819127119
ENSMUSG00000000339,765.3903328,-0.095295576,0.107621838,-0.8854669,0.375904864,0.607404547
ENSMUSG00000000340,360.0415969,0.216753262,0.15095046,1.435923162,0.151024207,0.365460151
ENSMUSG00000000346,5750.102112,-0.340130898,0.095390482,-3.56566915,0.000362929,0.01075228
ENSMUSG00000000355,746.2653656,-0.201206392,0.164963868,-1.219699772,0.222578708,0.453492458
ENSMUSG00000000359,187.8272102,0.603614364,0.284165892,2.12416191,0.033656607,0.158697
ENSMUSG00000000365,0.234324161,0,4.279685918,0,1,NA
ENSMUSG00000000374,1023.323059,0.049447792,0.153699966,0.321716349,0.747667591,0.869049689
ENSMUSG00000000378,1086.177504,0.003273996,0.081747489,0.040050114,0.968053173,0.985912243
ENSMUSG00000000381,0.056712925,-0.803521358,4.279685918,-0.187752413,0.851070741,NA
ENSMUSG00000000384,653.7767286,0.143998497,0.115243363,1.249516622,0.211476178,0.440458468
ENSMUSG00000000385,6.360618732,1.538688293,2.052268663,0.749749933,0.453405328,NA
ENSMUSG00000000386,468.212523,-0.21398518,0.274580095,-0.77931789,0.435792479,0.660149608
ENSMUSG00000000392,296.838214,-0.789107805,0.279084593,-2.827486096,0.004691505,0.051223776
ENSMUSG00000000394,0.73794965,0,3.998891616,0,1,NA
ENSMUSG00000000399,1223.575647,0.058839788,0.105236235,0.559120993,0.576079148,0.763126382
ENSMUSG00000000402,3.106760796,-0.234757998,1.929242263,-0.121684043,0.903149251,NA
ENSMUSG00000000409,345.1230169,-1.088378469,0.339153177,-3.209105927,0.001331484,0.02450401
ENSMUSG00000000411,0,NA,NA,NA,NA,NA
ENSMUSG00000000416,14.72214512,0.026907888,0.765267989,0.035161392,0.971951048,0.987683868
ENSMUSG00000000420,4951.514655,0.366748812,0.22005158,1.666649304,0.095584159,0.283753233
ENSMUSG00000000435,0.372071653,-1.272075979,4.240196104,-0.300004044,0.764174071,NA
ENSMUSG00000000439,566.2334384,-0.10418918,0.110800025,-0.940335348,0.347045574,0.581987742
ENSMUSG00000000440,16.97427733,-1.474681554,1.227790797,-1.201085363,0.22971809,0.461487782
ENSMUSG00000000441,2159.837688,0.055663871,0.080380753,0.692502483,0.488621827,0.703143279
ENSMUSG00000000486,195.7873198,-0.799896932,0.364824767,-2.192551067,0.02833974,0.143324907
ENSMUSG00000000489,297.9711235,-0.652843386,0.251003566,-2.60093272,0.009297069,0.075882544
ENSMUSG00000000530,435.0369486,-0.421815815,0.21425107,-1.968792105,0.048976969,0.195458576
ENSMUSG00000000531,165.598717,-0.179867288,0.16354626,-1.099794568,0.27142164,0.506385037
ENSMUSG00000000532,828.1662509,-0.205648869,0.122453694,-1.679401106,0.093073898,0.279734716
ENSMUSG00000000538,1412.276842,0.128965908,0.107496971,1.199716666,0.230249398,0.462000889
ENSMUSG00000000544,0.674007737,-0.123304092,1.898300114,-0.064955004,0.948209826,NA
ENSMUSG00000000552,14.92418894,-22.61244574,4.182764816,-5.406100206,NA,NA
ENSMUSG00000000555,3749.159329,-0.305265165,0.143949423,-2.120641811,0.033951957,0.159725666
ENSMUSG00000000560,0,NA,NA,NA,NA,NA
ENSMUSG00000000561,2064.01623,0.274782006,0.14700533,1.869197578,0.061595331,0.220081374
ENSMUSG00000000562,67.44214377,-0.367701076,0.376517272,-0.976584884,0.328774706,0.565119022
ENSMUSG00000000563,4066.17074,-0.095277687,0.10610935,-0.897919811,0.369228302,0.602025711
ENSMUSG00000000567,499.5879467,0.253397657,0.230744951,1.098172054,0.272129367,0.507023764
ENSMUSG00000000568,4225.517581,0.514152985,0.143097858,3.593016642,0.000326872,0.010090049
ENSMUSG00000000579,286.2765963,0.128726447,0.143673832,0.895963066,0.37027249,0.60308837
ENSMUSG00000000581,821.5207555,-0.002156204,0.162637775,-0.013257705,0.989422192,0.995964591
ENSMUSG00000000594,2826.561002,-0.152117472,0.169422386,-0.897859339,0.369260545,0.602025711
ENSMUSG00000000600,867.8899888,0.138754887,0.12095597,1.147152034,0.251318792,0.484703934
ENSMUSG00000000605,914.2258645,-0.110327797,0.073720766,-1.496563353,0.134506912,0.344051878
ENSMUSG00000000606,0,NA,NA,NA,NA,NA
ENSMUSG00000000617,2.545903556,-1.008892685,0.938291315,-1.075244617,0.282265225,NA
ENSMUSG00000000627,39.81679715,-0.08386969,0.531645371,-0.157754951,0.874649898,0.940955715
ENSMUSG00000000628,1853.217036,-1.911293423,0.394809083,-4.841057381,1.29E-06,0.000209293
ENSMUSG00000000631,2141.213757,-0.249471724,0.288142951,-0.865791521,0.3866045,0.61773923
ENSMUSG00000000632,0.771332641,-0.908051789,2.875591716,-0.315779109,0.752170176,NA
ENSMUSG00000000673,9.886296127,-3.600728935,0.825850015,-4.360027694,1.30E-05,0.001047836
ENSMUSG00000000682,1308.75178,-1.024208381,0.351264759,-2.915773232,0.003548083,0.04312744
ENSMUSG00000000686,51.4942679,0.534097728,0.379500385,1.407370715,0.15931749,0.37740866
ENSMUSG00000000690,182.9117108,-0.268336224,0.156972924,-1.709442737,0.08736897,0.269892338
ENSMUSG00000000693,4083.208217,0.301200536,0.108940805,2.764809157,0.005695611,0.056959887
ENSMUSG00000000701,0,NA,NA,NA,NA,NA
ENSMUSG00000000706,2.086765541,-1.614758588,1.340976769,-1.204165967,0.228525437,NA
ENSMUSG00000000708,1199.16811,-0.334929204,0.184778294,-1.812600366,0.069893481,0.238020779
ENSMUSG00000000711,2076.607187,0.025037974,0.072138354,0.347082695,0.728529194,0.858716348
ENSMUSG00000000724,1.28865681,-0.520401972,1.866544889,-0.27880496,0.780394508,NA
ENSMUSG00000000730,27.10358804,-1.238862847,0.615174729,-2.013838976,0.044026442,0.183994631
ENSMUSG00000000731,17.76965257,-1.482479129,0.768962542,-1.927895117,0.053868173,0.204444029
ENSMUSG00000000732,86.20598378,0.8357917,0.593296501,1.408725146,0.158916456,0.376695488
ENSMUSG00000000738,1283.851939,0.060728322,0.200392308,0.303047173,0.761853912,0.877619836
ENSMUSG00000000739,59.9186934,-1.502226669,0.789927948,-1.901726192,0.05720696,0.211167382
ENSMUSG00000000740,16938.18885,-0.195609632,0.116455532,-1.679693769,0.093016913,0.279734716
ENSMUSG00000000743,1994.952956,-0.174098608,0.099268557,-1.753814241,0.079462342,0.256495386
ENSMUSG00000000751,2225.389517,0.372455772,0.144305303,2.581026227,0.00985071,0.078054704
ENSMUSG00000000753,6166.377293,-0.104077742,0.187176448,-0.556040799,0.578182965,0.764569225
ENSMUSG00000000759,1358.25232,0.034995574,0.093716968,0.373417693,0.708837594,0.847326226
ENSMUSG00000000766,0.063459741,-0.803521358,4.279685918,-0.187752413,0.851070741,NA
ENSMUSG00000000776,457.505208,-0.032043179,0.085637675,-0.374171517,0.708276713,0.847043195
ENSMUSG00000000782,79.43423407,0.095000348,0.268262757,0.354131706,0.723240182,0.855569292
ENSMUSG00000000787,8795.798729,0.169676315,0.178439518,0.950889785,0.341660328,0.577001658
ENSMUSG00000000791,279.8344469,-0.326954398,0.509582477,-0.641612325,0.521124928,0.723971661
ENSMUSG00000000792,21.94168193,0.690065336,0.359887505,1.917447329,0.055181126,0.207493702
ENSMUSG00000000794,4.673727145,-2.214392798,0.90923734,-2.435439792,0.0148737,NA
ENSMUSG00000000804,1532.318998,0.013742526,0.171862343,0.079962401,0.93626716,0.971796306
ENSMUSG00000000805,152.0797124,-2.242092081,0.454902505,-4.92873101,8.28E-07,0.000161995
ENSMUSG00000000811,208.137724,0.199506981,0.215278961,0.926737015,0.354063094,0.588646381
ENSMUSG00000000817,58.08188939,-0.772865259,0.441460428,-1.750701107,0.079997409,0.257373783
ENSMUSG00000000823,1890.406503,0.369556925,0.148764884,2.484167732,0.012985463,0.092313165
ENSMUSG00000000826,2712.851755,0.016639756,0.164481083,0.101165163,0.919419351,0.963117727
ENSMUSG00000000827,1912.707292,0.067310072,0.116778009,0.576393384,0.564349315,0.755348381
ENSMUSG00000000838,1576.202568,0.345344319,0.172444638,2.002638773,0.045216075,0.186903858
ENSMUSG00000000861,28.84714615,0.228219207,0.558130105,0.408899653,0.682613303,0.83146085
ENSMUSG00000000869,1.376533117,-0.174505134,1.208802085,-0.144362039,0.885214591,NA
ENSMUSG00000000876,314.8181833,0.111756418,0.172981848,0.646058642,0.518241379,0.721849891
ENSMUSG00000000881,872.341436,0.084030078,0.164591312,0.51053775,0.609674775,0.785602644
ENSMUSG00000000884,27.56021691,0.6728707,0.660136042,1.019290959,0.308064855,0.543786066
ENSMUSG00000000889,0.03693236,-0.803521358,4.279685918,-0.187752413,0.851070741,NA
ENSMUSG00000000901,940.4214711,-0.82447034,0.26020506,-3.168540764,0.001532063,0.026479032
ENSMUSG00000000902,1472.471576,-0.013258198,0.149929606,-0.088429488,0.929535325,0.967630667
ENSMUSG00000000903,1.017913701,-0.611631824,2.083639424,-0.293540148,0.769109317,NA
ENSMUSG00000000915,392.4110674,-0.288283333,0.228412851,-1.262115204,0.206907335,0.435285467
ENSMUSG00000000916,495.8899891,0.511552225,0.153848107,3.325047254,0.000884036,0.018791677
ENSMUSG00000000934,253.2049498,-0.19986159,0.115122035,-1.736084583,0.08254888,0.261749247
ENSMUSG00000000938,181.2742039,0.414014713,0.15516486,2.6682247,0.007625324,0.067464805
ENSMUSG00000000942,6.70275422,-0.659983437,0.586719988,-1.124869529,0.260644326,NA
ENSMUSG00000000948,7.999663838,-0.723426183,0.614628169,-1.177014364,0.239189773,0.47221677
ENSMUSG00000000957,4956.313432,-0.292765346,0.165937328,-1.764312763,0.077679336,0.253673949
ENSMUSG00000000958,185.9621827,0.263459721,1.047749991,0.25145285,0.801464011,0.900198548
ENSMUSG00000000959,750.7401566,-0.032829203,0.135641766,-0.242028724,0.808757906,0.903340013
ENSMUSG00000000976,848.1460537,0.254049302,0.167853086,1.513521786,0.130147171,0.337947626
ENSMUSG00000000982,147.7246037,-2.13091257,0.491878203,-4.332195571,1.48E-05,0.001152812
ENSMUSG00000000983,14.30459475,-1.085064092,0.993643682,-1.092005225,0.274830805,0.509907061
ENSMUSG00000001014,0.757617346,-0.775052903,2.459213171,-0.31516296,0.752637927,NA
ENSMUSG00000001016,797.3159022,-0.192861663,0.136114239,-1.416910271,0.156509163,0.373042796
ENSMUSG00000001017,3416.259803,0.074063877,0.055426549,1.33625272,0.181466685,0.405528529
ENSMUSG00000001018,1253.038644,-0.01879586,0.084034524,-0.223668307,0.823015409,0.911766041
ENSMUSG00000001020,32345.26866,0.113342072,0.202979545,0.558391596,0.576577011,0.76340942
ENSMUSG00000001021,110.5696882,1.823571793,0.782032567,2.331836128,0.019709314,0.116121605
ENSMUSG00000001023,5.848289391,0.519539703,0.632055714,0.82198403,0.411085986,NA
ENSMUSG00000001025,13562.57201,-0.111588283,0.192606551,-0.579358712,0.562347157,0.754015481
